role,experience_level,city,min_salary,max_salary,avg_salary,currency,country
Python Developer,Fresher,Bangalore,400000,700000,550000,INR,India
Python Developer,Junior,Bangalore,700000,1200000,950000,INR,India
Python Developer,Mid,Bangalore,1200000,2000000,1600000,INR,India
Python Developer,Senior,Bangalore,2000000,3500000,2750000,INR,India
Python Developer,Lead,Bangalore,3500000,6000000,4750000,INR,India
ML Engineer,Fresher,Bangalore,500000,900000,700000,INR,India
ML Engineer,Junior,Bangalore,900000,1500000,1200000,INR,India
ML Engineer,Mid,Bangalore,1500000,2500000,2000000,INR,India
ML Engineer,Senior,Bangalore,2500000,4000000,3250000,INR,India
ML Engineer,Lead,Bangalore,4000000,7000000,5500000,INR,India
Data Scientist,Fresher,Mumbai,450000,800000,625000,INR,India
Data Scientist,Junior,Mumbai,800000,1400000,1100000,INR,India
Data Scientist,Mid,Mumbai,1400000,2200000,1800000,INR,India
Data Scientist,Senior,Mumbai,2200000,3800000,3000000,INR,India
Data Scientist,Lead,Mumbai,3800000,6500000,5150000,INR,India
Flutter Developer,Fresher,Pune,350000,650000,500000,INR,India
Flutter Developer,Junior,Pune,650000,1100000,875000,INR,India
Flutter Developer,Mid,Pune,1100000,1800000,1450000,INR,India
Flutter Developer,Senior,Pune,1800000,3000000,2400000,INR,India
Flutter Developer,Lead,Pune,3000000,5000000,4000000,INR,India
Backend Developer,Fresher,Hyderabad,400000,700000,550000,INR,India
Backend Developer,Junior,Hyderabad,700000,1200000,950000,INR,India
Backend Developer,Mid,Hyderabad,1200000,2000000,1600000,INR,India
Backend Developer,Senior,Hyderabad,2000000,3500000,2750000,INR,India
Backend Developer,Lead,Hyderabad,3500000,5500000,4500000,INR,India
AI Engineer,Fresher,Bangalore,600000,1000000,800000,INR,India
AI Engineer,Junior,Bangalore,1000000,1800000,1400000,INR,India
AI Engineer,Mid,Bangalore,1800000,3000000,2400000,INR,India
AI Engineer,Senior,Bangalore,3000000,5000000,4000000,INR,India
AI Engineer,Lead,Bangalore,5000000,9000000,7000000,INR,India
Python Developer,Junior,USA,8000000,12000000,10000000,USD,USA
ML Engineer,Junior,USA,10000000,15000000,12500000,USD,USA
Data Scientist,Junior,USA,9000000,14000000,11500000,USD,USA
Python Developer,Senior,USA,15000000,25000000,20000000,USD,USA
ML Engineer,Senior,USA,18000000,30000000,24000000,USD,USA
Python Developer,Junior,UK,6000000,9000000,7500000,GBP,UK
ML Engineer,Mid,UK,8000000,13000000,10500000,GBP,UK
Python Developer,Junior,Singapore,5000000,8000000,6500000,SGD,Singapore
ML Engineer,Mid,Singapore,7000000,12000000,9500000,SGD,Singapore
Python Developer,Mid,Germany,6500000,10000000,8250000,EUR,Germany